label	ctx_size	batch_size	ubatch_size	status	avg_completion_tok_s	avg_total_tok_s	avg_wall_s	avg_rss_mb	peak_rss_mb	server_log	benchmark_log
turbo	32768	512	128	ok	28.63	1146.40	15.118	47006.0	47006.1	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx32768-b512-ub128.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx32768-b512-ub128.benchmark.log
turbo	32768	512	256	ok	28.07	1123.84	15.422	47022.2	47022.4	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx32768-b512-ub256.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx32768-b512-ub256.benchmark.log
turbo	32768	1024	128	ok	28.58	1144.17	15.150	47003.7	47003.9	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx32768-b1024-ub128.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx32768-b1024-ub128.benchmark.log
turbo	32768	1024	256	ok	28.13	1126.18	15.389	47022.2	47022.4	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx32768-b1024-ub256.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx32768-b1024-ub256.benchmark.log
turbo	65536	512	128	ok	28.59	1144.48	15.146	47156.1	47156.2	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx65536-b512-ub128.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx65536-b512-ub128.benchmark.log
turbo	65536	512	256	ok	28.15	1126.77	15.382	47174.4	47174.6	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx65536-b512-ub256.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx65536-b512-ub256.benchmark.log
turbo	65536	1024	128	ok	28.67	1148.18	15.102	47154.2	47154.4	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx65536-b1024-ub128.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx65536-b1024-ub128.benchmark.log
turbo	65536	1024	256	ok	28.16	1127.56	15.377	47178.0	47178.3	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx65536-b1024-ub256.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx65536-b1024-ub256.benchmark.log
turbo	98304	512	128	ok	28.59	1144.60	15.144	47305.9	47307.0	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx98304-b512-ub128.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx98304-b512-ub128.benchmark.log
turbo	98304	512	256	ok	28.42	1137.87	15.234	47325.4	47326.4	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx98304-b512-ub256.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx98304-b512-ub256.benchmark.log
turbo	98304	1024	128	ok	29.18	1168.02	14.838	47306.0	47306.3	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx98304-b1024-ub128.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx98304-b1024-ub128.benchmark.log
turbo	98304	1024	256	ok	28.28	1132.52	15.309	47323.1	47323.4	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx98304-b1024-ub256.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx98304-b1024-ub256.benchmark.log
turbo	131072	512	128	ok	28.49	1140.85	15.194	47458.4	47458.5	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx131072-b512-ub128.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx131072-b512-ub128.benchmark.log
turbo	131072	512	256	ok	27.95	1119.07	15.488	47476.6	47476.8	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx131072-b512-ub256.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx131072-b512-ub256.benchmark.log
turbo	131072	1024	128	ok	28.55	1143.12	15.164	47458.3	47458.5	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx131072-b1024-ub128.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx131072-b1024-ub128.benchmark.log
turbo	131072	1024	256	ok	28.01	1121.24	15.458	47476.7	47476.9	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx131072-b1024-ub256.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx131072-b1024-ub256.benchmark.log
turbo	163840	512	128	ok	28.55	1143.00	15.165	47609.8	47610.0	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx163840-b512-ub128.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx163840-b512-ub128.benchmark.log
turbo	163840	512	256	ok	27.98	1120.36	15.470	47628.7	47628.9	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx163840-b512-ub256.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx163840-b512-ub256.benchmark.log
turbo	163840	1024	128	ok	28.59	1144.78	15.143	47609.0	47609.5	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx163840-b1024-ub128.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-130143/turbo-ctx163840-b1024-ub128.benchmark.log
