label	ctx_size	batch_size	ubatch_size	status	avg_completion_tok_s	avg_total_tok_s	avg_wall_s	avg_rss_mb	peak_rss_mb	server_log	benchmark_log
f16	32768	512	128	ok	33.32	1237.10	14.191	47612.7	47613.0	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx32768-b512-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx32768-b512-ub128.benchmark.log
f16	32768	512	256	ok	32.67	1212.86	14.465	47643.0	47643.3	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx32768-b512-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx32768-b512-ub256.benchmark.log
f16	32768	1024	128	ok	33.63	1248.31	14.058	47624.8	47625.2	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx32768-b1024-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx32768-b1024-ub128.benchmark.log
f16	32768	1024	256	ok	33.20	1232.40	14.236	47643.7	47644.3	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx32768-b1024-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx32768-b1024-ub256.benchmark.log
f16	65536	512	128	ok	33.92	1259.55	13.935	48393.1	48393.3	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx65536-b512-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx65536-b512-ub128.benchmark.log
f16	65536	512	256	ok	33.45	1241.83	14.129	48413.6	48415.0	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx65536-b512-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx65536-b512-ub256.benchmark.log
f16	65536	1024	128	ok	34.34	1274.77	13.766	48391.0	48391.1	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx65536-b1024-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx65536-b1024-ub128.benchmark.log
f16	65536	1024	256	ok	33.65	1249.22	14.046	48409.2	48409.4	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx65536-b1024-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx65536-b1024-ub256.benchmark.log
f16	98304	512	128	ok	34.37	1276.23	13.753	49158.2	49158.4	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx98304-b512-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx98304-b512-ub128.benchmark.log
f16	98304	512	256	ok	33.64	1248.90	14.049	49176.3	49176.5	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx98304-b512-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx98304-b512-ub256.benchmark.log
f16	98304	1024	128	ok	34.38	1276.46	13.752	49160.5	49160.7	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx98304-b1024-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx98304-b1024-ub128.benchmark.log
f16	98304	1024	256	ok	33.67	1249.89	14.038	49176.5	49176.7	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx98304-b1024-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx98304-b1024-ub256.benchmark.log
f16	131072	512	128	ok	34.35	1275.57	13.759	49930.3	49931.2	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx131072-b512-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx131072-b512-ub128.benchmark.log
f16	131072	512	256	ok	33.70	1251.02	14.023	49948.3	49949.0	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx131072-b512-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx131072-b512-ub256.benchmark.log
f16	131072	1024	128	ok	34.39	1277.17	13.745	49928.8	49929.0	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx131072-b1024-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx131072-b1024-ub128.benchmark.log
f16	131072	1024	256	ok	33.66	1249.57	14.042	49948.4	49948.6	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx131072-b1024-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx131072-b1024-ub256.benchmark.log
f16	163840	512	128	ok	34.36	1275.78	13.758	50702.4	50702.6	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx163840-b512-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx163840-b512-ub128.benchmark.log
f16	163840	512	256	ok	33.66	1249.72	14.041	50716.4	50716.6	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx163840-b512-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx163840-b512-ub256.benchmark.log
f16	163840	1024	128	ok	34.02	1263.05	13.892	50544.9	50546.5	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx163840-b1024-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx163840-b1024-ub128.benchmark.log
f16	163840	1024	256	ok	33.31	1236.71	14.187	50718.2	50718.5	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx163840-b1024-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx163840-b1024-ub256.benchmark.log
f16	196608	512	128	ok	34.00	1262.43	13.904	51474.1	51474.3	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx196608-b512-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx196608-b512-ub128.benchmark.log
f16	196608	512	256	ok	33.35	1238.35	14.171	51487.5	51487.9	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx196608-b512-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx196608-b512-ub256.benchmark.log
f16	196608	1024	128	ok	34.07	1264.99	13.876	51469.4	51469.6	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx196608-b1024-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx196608-b1024-ub128.benchmark.log
f16	196608	1024	256	ok	33.37	1238.92	14.160	51493.1	51493.3	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx196608-b1024-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-120306/f16-ctx196608-b1024-ub256.benchmark.log
